Electorate,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,Inadequately described,Not stated,Total
Parramatta,6278,59477,31699,15270,100,3952,35016,528,12506,164828
Paterson,969,77978,697,565,62,740,52126,599,7696,141438
Reid,10171,70820,15877,5691,227,1100,56839,480,11437,172643
Richmond,1963,60856,814,182,480,1053,61304,720,12711,140075
Riverina,655,82032,787,835,30,1133,33687,401,10567,130124
Robertson,1603,65257,972,546,272,607,48699,501,7509,125967
Shortland,990,66581,521,340,71,518,49015,432,6301,124765
Sydney,13160,50884,3438,3071,1771,1071,98396,951,15721,188461
Warringah,1974,57294,1095,676,696,604,54982,469,6036,123828
Watson,8411,61681,5498,31984,104,764,28171,323,11454,148398
Wentworth,1753,43828,676,627,16024,381,51198,439,9321,124257
Werriwa,12467,76022,9855,21276,30,3859,20282,341,10075,154210
Whitlam,1169,76842,872,1939,161,592,47377,475,7813,137237
No usual address (NSW),116,2814,59,144,18,76,3318,74,3480,10112
Migratory - Offshore - Shipping (NSW),0,0,0,0,0,0,0,0,0,0
Aston,5980,58542,4426,1926,137,1585,52675,599,6120,131987
Ballarat,1050,53388,1111,609,87,1094,58027,642,8196,124204
Bendigo,1525,52948,706,580,102,820,58488,624,9315,125110
Bruce,7987,63824,6466,17799,154,3360,36076,504,9450,145620
Calwell,4290,61862,8066,31466,27,7693,20795,406,9180,143794
Casey,1417,50864,586,324,184,871,66390,744,6781,128156
Chisholm,12225,60092,9312,3211,417,1871,59615,466,8392,155599
Cooper,3768,52176,3387,4690,307,1091,59205,702,7278,132603
Corangamite,1073,55424,1135,643,90,817,56672,516,7437,123811
Corio,1615,60002,1957,2496,97,1430,54380,680,9013,131674
Deakin,4482,60240,3045,1504,146,1442,59163,571,6659,137248
Dunkley,1613,52921,1238,960,326,776,61713,757,8026,128332
Flinders,903,56408,237,222,266,407,58620,544,9064,126669
Fraser,18527,55720,5455,7855,141,2112,46740,588,11078,148218
Gellibrand,4552,59038,12862,8583,133,4759,46494,580,9240,146246
Gippsland,974,55800,501,539,64,687,57389,519,11933,128407
Goldstein,2102,53291,2293,823,8879,580,52876,453,6329,127627
Gorton,9178,75753,6005,9218,33,5032,25390,394,9673,140670
Hawke,1706,61827,2956,3459,80,4145,45574,613,8086,128449
Higgins,3453,51527,4404,1486,5555,703,59379,558,7641,134712
Holt,7053,54825,9366,13431,111,7549,40657,530,8066,141598
Hotham,21027,63921,9466,7868,2821,3948,45197,545,9162,163955
Indi,954,60551,705,300,84,673,55373,599,10569,129805
Isaacs,5132,58074,2985,5491,1148,1170,50302,503,6323,131118
