Electorate,No children,One child,Two children,Three children,Four children,Five children,Six children,Seven children,Eight or more children,Not stated,Not applicable,Total
Hume,16251,6707,17273,10572,3877,1149,363,154,116,3001,91902,151371
Hunter,17101,7746,19826,12425,4999,1517,629,218,190,4015,98906,167583
Kingsford Smith,34007,10739,18771,7700,2278,596,217,93,76,5545,104554,184591
Lindsay,20413,8917,17957,10402,4313,1516,602,275,221,5323,103985,173936
Lyne,14524,6556,20076,13696,5644,1692,644,228,167,5112,89009,157347
Macarthur,18099,8400,16471,9540,4129,1579,711,277,276,4145,96990,160613
Mackellar,22182,8941,24005,11686,3253,737,204,60,66,3525,102072,176719
Macquarie,19152,7861,18842,11393,4278,1260,456,172,142,3403,92282,159250
McMahon,21726,8718,19225,11345,4929,1960,834,413,478,5180,109158,183982
Mitchell,20577,10616,24749,10685,2989,764,252,97,84,2382,106429,179625
New England,18135,7105,18350,13777,6000,2072,864,335,331,7056,103801,177826
Newcastle,26245,8292,18417,9673,3160,997,332,143,121,4509,95307,167192
Page,16997,7562,19566,13238,6072,1912,716,288,237,6152,99170,171908
Parkes,16393,6764,17108,13418,6691,2304,946,402,355,9234,107765,181379
Parramatta,28624,16172,21995,8061,2861,932,373,158,140,5535,126881,211733
Paterson,16828,7479,19596,11960,4596,1385,544,191,181,3791,93386,159939
Reid,37694,13955,19214,7537,2246,660,256,105,108,5574,114462,201820
Richmond,19837,8629,20237,11865,4506,1278,451,177,151,6597,93708,167436
Riverina,18079,6849,17530,13611,6533,2320,949,419,349,5558,103247,175452
Robertson,17688,7905,19543,11032,3915,1074,350,124,110,4275,86343,152356
Shortland,16447,7369,21031,12155,4305,1173,432,161,130,3579,90222,157009
Sydney,57423,11403,12183,4002,1134,349,123,69,78,7315,119176,213261
Warringah,34552,10329,19812,8766,2302,519,141,55,53,3844,101238,181612
Watson,23406,10011,16165,9964,5100,2249,966,470,477,6980,117736,193515
Wentworth,39335,9402,15614,6941,1756,336,141,57,64,5975,99737,179353
Werriwa,19215,6868,16519,10067,4799,1978,848,385,445,4472,100874,166468
Whitlam,18222,7770,20796,12573,4635,1404,446,191,152,3921,95372,165474
Total,3326795,1292982,2816789,1547659,590349,191255,75062,31477,29856,700638,14766984,25369858
